[2025-10-16 16:26:40.233163] Veri kontrol edildi: weather : {'id': 800, 'main': 'Clear', 'description': 'açık', 'icon': '01d'}
[2025-10-16 16:27:40.231707] Veri kontrol edildi: weather : {'id': 800, 'main': 'Clear', 'description': 'açık', 'icon': '01d'}
[2025-10-16 16:34:45.209748] Veri kontrol edildi: weather : {'id': 800, 'main': 'Clear', 'description': 'açık', 'icon': '01d'}
[2025-10-16 16:35:45.149309] Veri kontrol edildi: weather : {'id': 800, 'main': 'Clear', 'description': 'açık', 'icon': '01d'}
[2025-10-16 16:37:19.119781] Veri kontrol edildi: weather : {'id': 800, 'main': 'Clear', 'description': 'açık', 'icon': '01d'}
[2025-10-16 16:38:19.646711] Veri kontrol edildi: weather : {'id': 800, 'main': 'Clear', 'description': 'açık', 'icon': '01d'}
[2025-10-16 16:39:19.359922] Veri kontrol edildi: weather : {'id': 800, 'main': 'Clear', 'description': 'açık', 'icon': '01d'}
[2025-10-16 16:40:19.180619] Veri kontrol edildi: weather : {'id': 800, 'main': 'Clear', 'description': 'açık', 'icon': '01d'}
[2025-10-16 16:41:19.369290] Veri kontrol edildi: weather : {'id': 800, 'main': 'Clear', 'description': 'açık', 'icon': '01d'}
[2025-10-16 16:42:19.652138] Veri kontrol edildi: weather : {'id': 800, 'main': 'Clear', 'description': 'açık', 'icon': '01d'}
[2025-10-16 16:43:19.166819] Veri kontrol edildi: weather : {'id': 800, 'main': 'Clear', 'description': 'açık', 'icon': '01d'}
[2025-10-16 16:44:19.254362] Veri kontrol edildi: weather : {'id': 800, 'main': 'Clear', 'description': 'açık', 'icon': '01d'}
[2025-10-16 16:45:19.144576] Veri kontrol edildi: weather : {'id': 800, 'main': 'Clear', 'description': 'açık', 'icon': '01d'}
[2025-10-16 16:46:19.189444] Veri kontrol edildi: weather : {'id': 800, 'main': 'Clear', 'description': 'açık', 'icon': '01d'}
[2025-10-16 16:47:19.114638] Veri kontrol edildi: weather : {'id': 800, 'main': 'Clear', 'description': 'açık', 'icon': '01d'}
[2025-10-16 16:48:19.702159] Veri kontrol edildi: weather : {'id': 800, 'main': 'Clear', 'description': 'açık', 'icon': '01d'}
[2025-10-16 16:49:19.145778] Veri kontrol edildi: weather : {'id': 800, 'main': 'Clear', 'description': 'açık', 'icon': '01d'}
[2025-10-16 16:50:19.165168] Veri kontrol edildi: weather : {'id': 800, 'main': 'Clear', 'description': 'açık', 'icon': '01d'}
[2025-10-16 16:51:19.267885] Veri kontrol edildi: weather : {'id': 800, 'main': 'Clear', 'description': 'açık', 'icon': '01d'}
[2025-10-16 16:52:19.232809] Veri kontrol edildi: weather : {'id': 800, 'main': 'Clear', 'description': 'açık', 'icon': '01d'}
[2025-10-16 16:53:19.190967] Veri kontrol edildi: weather : {'id': 800, 'main': 'Clear', 'description': 'açık', 'icon': '01d'}
[2025-10-16 16:54:19.143328] Veri kontrol edildi: weather : {'id': 800, 'main': 'Clear', 'description': 'açık', 'icon': '01d'}
[2025-10-16 16:55:19.169747] Veri kontrol edildi: weather : {'id': 800, 'main': 'Clear', 'description': 'açık', 'icon': '01d'}
[2025-10-16 17:05:20.368798] Veri kontrol edildi: weather : {'id': 800, 'main': 'Clear', 'description': 'açık', 'icon': '01d'}
[2025-10-16 17:06:23.940644] Veri kontrol edildi: weather : {'id': 800, 'main': 'Clear', 'description': 'açık', 'icon': '01d'}
[2025-10-16 17:07:23.932421] Veri kontrol edildi: weather : {'id': 800, 'main': 'Clear', 'description': 'açık', 'icon': '01d'}
[2025-10-16 17:08:20.409683] Veri kontrol edildi: weather : {'id': 800, 'main': 'Clear', 'description': 'açık', 'icon': '01d'}
[2025-10-16 17:09:37.956603] Veri kontrol edildi: weather : {'id': 800, 'main': 'Clear', 'description': 'açık', 'icon': '01d'}
[2025-10-16 17:11:47.910347] Veri kontrol edildi: weather : {'id': 800, 'main': 'Clear', 'description': 'açık', 'icon': '01d'}
